source_cell,target_cell,auroc,c_source,c_target,abs_dc,lie_rate_source,lie_rate_target,scenario_source,scenario_target,mode_source,mode_target,subtype_source,subtype_target,topic_source,topic_target,style_source,style_target,is_diag
dissimulation|-|everyday|formal,dissimulation|-|everyday|formal,0.6520650813516897,0.4815606266034372,0.4815606266034372,0.0,0.5,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,everyday,formal,formal,True
dissimulation|-|everyday|formal,dissimulation|-|everyday|plain,0.7193181818181819,0.4815606266034372,0.4095683753839694,0.07199225121946778,0.5,0.48484848484848486,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,everyday,formal,plain,False
dissimulation|-|everyday|formal,dissimulation|-|geography|formal,0.7671703296703296,0.4815606266034372,0.49818276629155994,0.01662213968812276,0.5,0.5975609756097561,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,geography,formal,formal,False
dissimulation|-|everyday|formal,dissimulation|-|geography|plain,0.7392473118279569,0.4815606266034372,0.48563867515843845,0.004078048555001268,0.5,0.5609756097560976,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,geography,formal,plain,False
dissimulation|-|everyday|formal,dissimulation|-|history|formal,0.7061803444782169,0.4815606266034372,0.4630606587976217,0.018499967805815476,0.5,0.5714285714285714,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,history,formal,formal,False
dissimulation|-|everyday|formal,dissimulation|-|history|plain,0.7857142857142857,0.4815606266034372,0.5059730061462947,0.02441237954285752,0.5,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,history,formal,plain,False
dissimulation|-|everyday|formal,dissimulation|-|science|formal,0.7379162191192266,0.4815606266034372,0.45073065123496914,0.030829975368468043,0.5,0.5571428571428572,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,science,formal,formal,False
dissimulation|-|everyday|formal,dissimulation|-|science|plain,0.7330232558139534,0.4815606266034372,0.47311730917662065,0.008443317426816532,0.5,0.6714285714285714,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,science,formal,plain,False
dissimulation|-|everyday|formal,simulation|counterfactual_world|everyday|plain,0.7317813765182186,0.4815606266034372,0.4385402960742408,0.043020330529196404,0.5,0.7121212121212122,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,everyday,formal,plain,False
dissimulation|-|everyday|formal,simulation|counterfactual_world|geography|plain,0.7437070938215102,0.4815606266034372,0.5259248716411767,0.04436424503773956,0.5,0.6585365853658537,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,geography,formal,plain,False
dissimulation|-|everyday|formal,simulation|counterfactual_world|history|plain,0.7590697674418605,0.4815606266034372,0.46494394130073485,0.016616685302702328,0.5,0.7142857142857143,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,history,formal,plain,False
dissimulation|-|everyday|formal,simulation|counterfactual_world|science|plain,0.8115942028985508,0.4815606266034372,0.45701680903827463,0.02454381756516255,0.5,0.6857142857142857,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,science,formal,plain,False
dissimulation|-|everyday|formal,simulation|fictional_frame|everyday|plain,0.7330729166666666,0.4815606266034372,0.4395181258406603,0.04204250076277688,0.5,0.5,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,everyday,formal,plain,False
dissimulation|-|everyday|formal,simulation|fictional_frame|geography|plain,0.7419354838709677,0.4815606266034372,0.46235053560563494,0.019210090997802243,0.5,0.5121951219512195,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,geography,formal,plain,False
dissimulation|-|everyday|formal,simulation|fictional_frame|history|plain,0.6802884615384616,0.4815606266034372,0.4889068712363951,0.00734624463295791,0.5,0.5714285714285714,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,history,formal,plain,False
dissimulation|-|everyday|formal,simulation|fictional_frame|science|plain,0.4747596153846154,0.4815606266034372,0.4588918661077817,0.02266876049565547,0.5,0.42857142857142855,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,science,formal,plain,False
dissimulation|-|everyday|formal,simulation|persona|everyday|plain,0.6875,0.4815606266034372,0.4768809253970782,0.004679701206358966,0.5,0.18181818181818182,instructed_lying,persona,dissimulation,simulation,,persona,everyday,everyday,formal,plain,False
dissimulation|-|everyday|formal,simulation|persona|geography|plain,0.6642156862745097,0.4815606266034372,0.5022617439428966,0.020701117339459396,0.5,0.18292682926829268,instructed_lying,persona,dissimulation,simulation,,persona,everyday,geography,formal,plain,False
dissimulation|-|everyday|formal,simulation|persona|history|plain,0.7876344086021505,0.4815606266034372,0.43008748810881603,0.05147313849462115,0.5,0.18571428571428572,instructed_lying,persona,dissimulation,simulation,,persona,everyday,history,formal,plain,False
dissimulation|-|everyday|formal,simulation|persona|science|plain,0.5483870967741935,0.4815606266034372,0.5880296468734741,0.10646902027003696,0.5,0.14285714285714285,instructed_lying,persona,dissimulation,simulation,,persona,everyday,science,formal,plain,False
dissimulation|-|everyday|plain,dissimulation|-|everyday|formal,0.6120150187734668,0.4095683753839694,0.4815606266034372,0.07199225121946778,0.48484848484848486,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,everyday,plain,formal,False
dissimulation|-|everyday|plain,dissimulation|-|everyday|plain,0.6272727272727272,0.4095683753839694,0.4095683753839694,0.0,0.48484848484848486,0.48484848484848486,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,everyday,plain,plain,True
dissimulation|-|everyday|plain,dissimulation|-|geography|formal,0.6366758241758242,0.4095683753839694,0.49818276629155994,0.08861439090759055,0.48484848484848486,0.5975609756097561,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,geography,plain,formal,False
dissimulation|-|everyday|plain,dissimulation|-|geography|plain,0.7096774193548387,0.4095683753839694,0.48563867515843845,0.07607029977446905,0.48484848484848486,0.5609756097560976,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,geography,plain,plain,False
dissimulation|-|everyday|plain,dissimulation|-|history|formal,0.590678824721378,0.4095683753839694,0.4630606587976217,0.05349228341365231,0.48484848484848486,0.5714285714285714,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,history,plain,formal,False
dissimulation|-|everyday|plain,dissimulation|-|history|plain,0.6044973544973544,0.4095683753839694,0.5059730061462947,0.0964046307623253,0.48484848484848486,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,history,plain,plain,False
dissimulation|-|everyday|plain,dissimulation|-|science|formal,0.7261009667024705,0.4095683753839694,0.45073065123496914,0.04116227585099974,0.48484848484848486,0.5571428571428572,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,science,plain,formal,False
dissimulation|-|everyday|plain,dissimulation|-|science|plain,0.6195348837209302,0.4095683753839694,0.47311730917662065,0.06354893379265125,0.48484848484848486,0.6714285714285714,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,science,plain,plain,False
dissimulation|-|everyday|plain,simulation|counterfactual_world|everyday|plain,0.701417004048583,0.4095683753839694,0.4385402960742408,0.02897192069027138,0.48484848484848486,0.7121212121212122,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,everyday,plain,plain,False
dissimulation|-|everyday|plain,simulation|counterfactual_world|geography|plain,0.5850495804729214,0.4095683753839694,0.5259248716411767,0.11635649625720734,0.48484848484848486,0.6585365853658537,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,geography,plain,plain,False
dissimulation|-|everyday|plain,simulation|counterfactual_world|history|plain,0.7553488372093023,0.4095683753839694,0.46494394130073485,0.05537556591676546,0.48484848484848486,0.7142857142857143,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,history,plain,plain,False
dissimulation|-|everyday|plain,simulation|counterfactual_world|science|plain,0.6811594202898551,0.4095683753839694,0.45701680903827463,0.04744843365430523,0.48484848484848486,0.6857142857142857,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,science,plain,plain,False
dissimulation|-|everyday|plain,simulation|fictional_frame|everyday|plain,0.6575520833333334,0.4095683753839694,0.4395181258406603,0.029949750456690905,0.48484848484848486,0.5,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,everyday,plain,plain,False
dissimulation|-|everyday|plain,simulation|fictional_frame|geography|plain,0.692652329749104,0.4095683753839694,0.46235053560563494,0.05278216022166554,0.48484848484848486,0.5121951219512195,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,geography,plain,plain,False
